state,action,next_state,reward,done
[ 0.99962485  0.02738891  0.9989402  -0.04602639 -0.09180529 -0.09669447],0,[ 0.9998245   0.01873245  0.995746   -0.09214022  0.00529764 -0.3585254 ],-1.0199712186490084,False
[ 0.9998245   0.01873245  0.995746   -0.09214022  0.00529764 -0.3585254 ],0,[ 0.99959475  0.02846575  0.9830619  -0.1832739   0.08690774 -0.5440563 ],-1.0198747531916799,False
[ 0.99959475  0.02846575  0.9830619  -0.1832739   0.08690774 -0.5440563 ],0,[ 0.9987196   0.05058888  0.95500374 -0.2965937   0.12630387 -0.60059315],-1.0196750484188637,False
[ 0.9987196   0.05058888  0.95500374 -0.2965937   0.12630387 -0.60059315],2,[ 0.99876213  0.04974198  0.9400602  -0.34100854 -0.13472152  0.13736092],-1.0195462104416542,False
[ 0.99876213  0.04974198  0.9400602  -0.34100854 -0.13472152  0.13736092],1,[ 0.9999267   0.01211096  0.96021944 -0.27924642 -0.23256123  0.49648345],-1.0196345764876054,False
[ 0.99959475  0.02846575  0.9830619  -0.1832739   0.08690774 -0.5440563 ],1,"[ 9.9929434e-01  3.7561521e-02  9.6449292e-01 -2.6410878e-01
  2.7120230e-04 -2.7112654e-01]",-1.0197302692014272,False
"[ 9.9929434e-01  3.7561521e-02  9.6449292e-01 -2.6410878e-01
  2.7120230e-04 -2.7112654e-01]",0,[ 0.9991586   0.04101253  0.9482911  -0.31740192  0.03197143 -0.27623758],-1.0195966932928657,False
[ 0.9991586   0.04101253  0.9482911  -0.31740192  0.03197143 -0.27623758],0,[ 0.9987887   0.04920503  0.9309665  -0.36510465  0.04708083 -0.22202687],-1.0194659248920093,False
[ 0.9987887   0.04920503  0.9309665  -0.36510465  0.04708083 -0.22202687],0,[ 0.9982815   0.05860135  0.9177646  -0.39712483  0.04432921 -0.11762755],-1.0193774090579826,False
[ 0.9982815   0.05860135  0.9177646  -0.39712483  0.04432921 -0.11762755],1,[ 0.9985845   0.05318849  0.92659444 -0.37606215 -0.09692163  0.34167758],-1.019438695095042,False
[ 0.9987196   0.05058888  0.95500374 -0.2965937   0.12630387 -0.60059315],0,[ 0.99715376  0.07539474  0.9151719  -0.4030637   0.11427589 -0.5149295 ],-1.0194010977245178,False
[ 0.99715376  0.07539474  0.9151719  -0.4030637   0.11427589 -0.5149295 ],1,[ 0.9967337   0.08075833  0.8932055  -0.4496486  -0.06181834  0.00680707],-1.0192333465652612,False
[ 0.9967337   0.08075833  0.8932055  -0.4496486  -0.06181834  0.00680707],1,[ 0.9986598   0.05175513  0.915944   -0.40130615 -0.22201034  0.5155807 ],-1.0193414588619079,False
[ 0.9986598   0.05175513  0.915944   -0.40130615 -0.22201034  0.5155807 ],2,[ 0.99986136 -0.01665262  0.9725209  -0.23281553 -0.44526646  1.228159  ],-1.0196837040535984,False
[ 0.99986136 -0.01665262  0.9725209  -0.23281553 -0.44526646  1.228159  ],0,[ 0.9959557  -0.08984564  0.999933   -0.01157353 -0.265203    0.9544403 ],-1.0199080486767893,False
[ 0.99986136 -0.01665262  0.9725209  -0.23281553 -0.44526646  1.228159  ],1,[ 0.9946794  -0.10301886  0.9997439   0.02263142 -0.3937069   1.2885232 ],-1.0199143550950134,False
[ 0.9946794  -0.10301886  0.9997439   0.02263142 -0.3937069   1.2885232 ],0,[ 0.9886756  -0.15006849  0.97535956  0.22062115 -0.06542518  0.66953903],-1.0198609810514254,False
[ 0.9886756  -0.15006849  0.97535956  0.22062115 -0.06542518  0.66953903],2,[ 0.98834324 -0.15224189  0.93991244  0.34141555  0.04773613  0.5686993 ],-1.019692771525502,False
[ 0.98834324 -0.15224189  0.93991244  0.34141555  0.04773613  0.5686993 ],2,[ 0.9914381  -0.13057783  0.9035141   0.42855844  0.16890669  0.3646958 ],-1.0194317652114355,False
[ 0.9914381  -0.13057783  0.9035141   0.42855844  0.16890669  0.3646958 ],2,[ 0.99618226 -0.08729751  0.88144404  0.47228846  0.25830472  0.12506928],-1.0191549083189366,False
[ 0.9987196   0.05058888  0.95500374 -0.2965937   0.12630387 -0.60059315],1,[ 0.9980387   0.06260018  0.92811483 -0.3722941  -0.00970689 -0.18980986],-1.0194763884720337,False
[ 0.9980387   0.06260018  0.92811483 -0.3722941  -0.00970689 -0.18980986],1,[ 0.9989128   0.04661752  0.93052226 -0.36623532 -0.14669935  0.25115997],-1.0194549640832224,False
[ 0.9989128   0.04661752  0.93052226 -0.36623532 -0.14669935  0.25115997],0,[ 0.999806    0.01969656  0.9494467  -0.3139283  -0.11576051  0.29206154],-1.0195525181310334,False
[ 0.999806    0.01969656  0.9494467  -0.3139283  -0.11576051  0.29206154],2,[ 0.99973    -0.02323593  0.9808906  -0.1945602  -0.30217552  0.917639  ],-1.0197583497143996,False
[ 0.99973    -0.02323593  0.9808906  -0.1945602  -0.30217552  0.917639  ],0,[ 0.9977042  -0.06772192  0.9993347  -0.03647209 -0.12892191  0.64084816],-1.0199227471077184,False
[ 0.99986136 -0.01665262  0.9725209  -0.23281553 -0.44526646  1.228159  ],2,[ 0.9932283  -0.11617855  0.99838436  0.05682169 -0.5220051   1.6222683 ],-1.0199145343424982,False
[ 0.9932283  -0.11617855  0.99838436  0.05682169 -0.5220051   1.6222683 ],2,[ 0.9777272  -0.20987976  0.9277      0.37332663 -0.3961916   1.5614024 ],-1.0196311840321386,False
[ 0.9777272  -0.20987976  0.9277      0.37332663 -0.3961916   1.5614024 ],2,[ 0.965311   -0.26110283  0.7927705   0.6095202  -0.11470432  1.1213006 ],-1.018897285454499,False
[ 0.965311   -0.26110283  0.7927705   0.6095202  -0.11470432  1.1213006 ],2,[ 0.9677991  -0.2517238   0.6830451   0.73037624  0.20919983  0.4983444 ],-1.018127026062299,False
[ 0.9677991  -0.2517238   0.6830451   0.73037624  0.20919983  0.4983444 ],2,[ 0.9830371  -0.18340671  0.6572453   0.7536767   0.47487345 -0.1426706 ],-1.0176736301204046,False
[ 0.99959475  0.02846575  0.9830619  -0.1832739   0.08690774 -0.5440563 ],2,[ 0.9997001   0.02448898  0.9728953  -0.23124592 -0.12654278  0.05987427],-1.0197796663420313,False
[ 0.9997001   0.02448898  0.9728953  -0.23124592 -0.12654278  0.05987427],0,[ 0.9999802   0.00629453  0.97352475 -0.22858164 -0.05173454 -0.03567824],-1.019749244641212,False
[ 0.9999802   0.00629453  0.97352475 -0.22858164 -0.05173454 -0.03567824],1,[ 0.99996376 -0.00851221  0.97720784 -0.21228468 -0.09278466  0.19754937],-1.0197532921908425,False
[ 0.99996376 -0.00851221  0.97720784 -0.21228468 -0.09278466  0.19754937],0,[ 0.9998767  -0.01570329  0.9821139  -0.18828772  0.02293662  0.04232321],-1.0197891276937294,False
[ 0.9998767  -0.01570329  0.9821139  -0.18828772  0.02293662  0.04232321],2,[ 0.9996634  -0.02594419  0.99167377 -0.12877576 -0.12157691  0.5488404 ],-1.019876623432384,False
[ 0.99715376  0.07539474  0.9151719  -0.4030637   0.11427589 -0.5149295 ],2,[ 0.9976772   0.06811928  0.9075689  -0.41990322 -0.1852531   0.33039057],-1.0193174145897792,False
[ 0.9976772   0.06811928  0.9075689  -0.41990322 -0.1852531   0.33039057],0,[ 0.9995388   0.03036763  0.9376463  -0.3475907  -0.18316998  0.43491787],-1.0194730821661575,False
[ 0.9995388   0.03036763  0.9376463  -0.3475907  -0.18316998  0.43491787],2,[ 0.9996291  -0.02723378  0.9801104  -0.19845301 -0.37799793  1.0851156 ],-1.0197397133963604,False
[ 0.9996291  -0.02723378  0.9801104  -0.19845301 -0.37799793  1.0851156 ],2,[ 0.9937078  -0.11200394  0.998199    0.05998949 -0.44568756  1.453396  ],-1.019923449242913,False
[ 0.9937078  -0.11200394  0.998199    0.05998949 -0.44568756  1.453396  ],0,[ 0.9860099  -0.16668683  0.9592551   0.28254148 -0.08942454  0.7660555 ],-1.019789408282696,False
[ 0.9996291  -0.02723378  0.9801104  -0.19845301 -0.37799793  1.0851156 ],1,[ 0.99510413 -0.09883194  0.9996675   0.02578491 -0.31734776  1.1195278 ],-1.019924257928616,False
[ 0.99510413 -0.09883194  0.9996675   0.02578491 -0.31734776  1.1195278 ],0,[ 0.99123174 -0.13213484  0.98131096  0.1924288  -0.00653093  0.5263153 ],-1.019893648594618,False
[ 0.99123174 -0.13213484  0.98131096  0.1924288  -0.00653093  0.5263153 ],1,[ 0.99357533 -0.1131727   0.96556604  0.260158    0.19528836  0.16117641],-1.0198238073358596,False
[ 0.99357533 -0.1131727   0.96556604  0.260158    0.19528836  0.16117641],0,[ 0.9990213  -0.04423164  0.97491354  0.22258392  0.48093367 -0.53134716],-1.0198282594208379,False
[ 0.9990213  -0.04423164  0.97491354  0.22258392  0.48093367 -0.53134716],2,[ 0.9990494   0.0435921   0.99134564  0.13127747  0.3769559  -0.36695167],-1.0198373005481587,False
[ 0.9990213  -0.04423164  0.97491354  0.22258392  0.48093367 -0.53134716],0,[ 0.9975524   0.06992278  0.997993    0.06332462  0.6334101  -1.0345443 ],-1.0198867487426189,False
[ 0.9975524   0.06992278  0.997993    0.06332462  0.6334101  -1.0345443 ],2,[ 0.9856613   0.16873562  0.9951887  -0.09797674  0.33749667 -0.53771937],-1.019831125517036,False
[ 0.9856613   0.16873562  0.9951887  -0.09797674  0.33749667 -0.53771937],1,[ 0.9777524   0.20976241  0.9848479  -0.17342043  0.07015783 -0.20572317],-1.0197706684606909,False
[ 0.9777524   0.20976241  0.9848479  -0.17342043  0.07015783 -0.20572317],2,[ 0.98334414  0.18175344  0.9898436  -0.14216071 -0.3487743   0.5122985 ],-1.0198253922162703,False
[ 0.98334414  0.18175344  0.9898436  -0.14216071 -0.3487743   0.5122985 ],1,[ 0.995789    0.09167473  0.99989504 -0.01448952 -0.5384596   0.73309547],-1.019928017981873,False
[ 0.98334414  0.18175344  0.9898436  -0.14216071 -0.3487743   0.5122985 ],2,[ 0.9969163   0.07847203  0.9998045   0.01977272 -0.6670701   1.0674019 ],-1.0199208612862702,False
[ 0.9969163   0.07847203  0.9998045   0.01977272 -0.6670701   1.0674019 ],1,[ 0.9983746  -0.05699267  0.97452176  0.22429302 -0.65477586  0.9397704 ],-1.0198409541251345,False
[ 0.9983746  -0.05699267  0.97452176  0.22429302 -0.65477586  0.9397704 ],1,[ 0.98552215 -0.16954662  0.93065447  0.36589924 -0.45258462  0.50462437],-1.0196473976284715,False
[ 0.98552215 -0.16954662  0.93065447  0.36589924 -0.45258462  0.50462437],1,[ 0.9737164  -0.22776401  0.91440964  0.40479    -0.12924066 -0.09635856],-1.019562886159498,False
[ 0.9737164  -0.22776401  0.91440964  0.40479    -0.12924066 -0.09635856],0,[ 0.9786404  -0.20557967  0.9547011   0.29756647  0.35015133 -1.0306774 ],-1.0197412305182136,False
[ 0.9975524   0.06992278  0.997993    0.06332462  0.6334101  -1.0345443 ],0,[ 0.9808501   0.19476405  0.9861606  -0.16579303  0.5937719  -1.2040656 ],-1.019804163650704,False
[ 0.9808501   0.19476405  0.9861606  -0.16579303  0.5937719  -1.2040656 ],2,[ 0.9641643   0.2653058   0.947221   -0.32058132  0.11415572 -0.3608888 ],-1.0196249309139884,False
[ 0.9641643   0.2653058   0.947221   -0.32058132  0.11415572 -0.3608888 ],0,[ 0.96506155  0.26202333  0.9313959  -0.3640078  -0.14852981 -0.0947604 ],-1.019592944337296,False
[ 0.96506155  0.26202333  0.9313959  -0.3640078  -0.14852981 -0.0947604 ],1,[ 0.9803938   0.19704801  0.945714   -0.32500008 -0.5047134   0.49481905],-1.019716066276419,False
[ 0.9803938   0.19704801  0.945714   -0.32500008 -0.5047134   0.49481905],2,[ 0.99824905  0.05915121  0.98840696 -0.1518279  -0.85432416  1.2420875 ],-1.0199390611680148,False
[ 0.9808501   0.19476405  0.9861606  -0.16579303  0.5937719  -1.2040656 ],1,[ 0.96063733  0.2778055   0.93588394 -0.35230848  0.23971629 -0.68889666],-1.0195755563159414,False
[ 0.96063733  0.2778055   0.93588394 -0.35230848  0.23971629 -0.68889666],2,[ 0.9626681   0.27068448  0.921832   -0.38758957 -0.31196004  0.31199422],-1.0195500092652243,False
[ 0.9626681   0.27068448  0.921832   -0.38758957 -0.31196004  0.31199422],1,[ 0.9847428   0.17401601  0.9623852  -0.27168876 -0.65743625  0.8843973 ],-1.0197972290760327,False
[ 0.9847428   0.17401601  0.9623852  -0.27168876 -0.65743625  0.8843973 ],2,[ 0.9999457   0.01041957  0.99957055 -0.02930407 -0.9467677   1.506348  ],-1.0199976733233396,False
[ 0.9999457   0.01041957  0.99957055 -0.02930407 -0.9467677   1.506348  ],2,[ 0.9831351  -0.18288061  0.9575047   0.2884178  -0.945651    1.6217414 ],-1.0197723762013118,False
[ 0.9831351  -0.18288061  0.9575047   0.2884178  -0.945651    1.6217414 ],2,[ 0.9400094  -0.34114856  0.83391136  0.5518984  -0.6577491   1.2326437 ],-1.0191217324890762,False
[ 0.9400094  -0.34114856  0.83391136  0.5518984  -0.6577491   1.2326437 ],0,[ 0.9166011  -0.3998029   0.76258624  0.6468866   0.0359905  -0.05765907],-1.0187421566998538,False
[ 0.9166011  -0.3998029   0.76258624  0.6468866   0.0359905  -0.05765907],0,[ 0.9446967 -0.3279452  0.8461998  0.5328657  0.7221571 -1.3385613],-1.0191884971629002,False
[ 0.9446967 -0.3279452  0.8461998  0.5328657  0.7221571 -1.3385613],0,[ 0.99108577 -0.13322519  0.9828486   0.18441433  1.2360972  -2.3443668 ],-1.0198974170300514,False
[ 0.99108577 -0.13322519  0.9828486   0.18441433  1.2360972  -2.3443668 ],1,[ 0.99279726  0.11980654  0.9580238  -0.28668872  1.2295032  -2.2813423 ],-1.0197826782963555,False
[ 0.9999457   0.01041957  0.99957055 -0.02930407 -0.9467677   1.506348  ],0,[ 0.9876051  -0.15695898  0.9748859   0.22270504 -0.69204485  0.9627152 ],-1.019853629609183,False
[ 0.9876051  -0.15695898  0.9748859   0.22270504 -0.69204485  0.9627152 ],0,[ 0.96814704 -0.2503823   0.94445723  0.32863435 -0.24201855  0.11186465],-1.0196480474711678,False
[ 0.96814704 -0.2503823   0.94445723  0.32863435 -0.24201855  0.11186465],0,[ 0.96885496 -0.24762885  0.9650029   0.26223934  0.26824853 -0.7958401 ],-1.0196874081825662,False
