,hidden_state,state,q,parent,prev_action,avail_children,step,done
0,[ 0.02739234 -0.04604266 -0.09180529 -0.09669447],[ 0.99962485  0.02738891  0.9989402  -0.04602639 -0.09180529 -0.09669447],[0.36405078 0.30210933 0.33383992],-1,-1,2,0,False
1,[ 0.01873355 -0.0922711   0.00529764 -0.35852539],[ 0.9998245   0.01873245  0.995746   -0.09214022  0.00529764 -0.3585254 ],[0.37264988 0.30465773 0.32269233],0,0,1,1,False
2,[ 0.0284696  -0.18431573  0.08690773 -0.5440563 ],[ 0.99959475  0.02846575  0.9830619  -0.1832739   0.08690774 -0.5440563 ],[0.3786406  0.30644423 0.31491515],1,0,0,2,False
3,[ 0.05061049 -0.30112388  0.12630386 -0.60059317],[ 0.9987196   0.05058888  0.95500374 -0.2965937   0.12630387 -0.60059315],[0.3795537  0.3070204  0.31342596],2,0,0,3,False
4,[ 0.04976252 -0.34798952 -0.13472152  0.13736091],[ 0.99876213  0.04974198  0.9400602  -0.34100854 -0.13472152  0.13736092],[0.3555099  0.30198276 0.34250733],3,2,1,4,False
5,[ 0.01211126 -0.28300923 -0.23256123  0.49648345],[ 0.9999267   0.01211096  0.96021944 -0.27924642 -0.23256123  0.49648345],[0.3434453  0.30246803 0.35408664],4,1,3,5,False
6,[ 0.03757036 -0.26727976  0.0002712  -0.27112655],"[ 9.9929434e-01  3.7561521e-02  9.6449292e-01 -2.6410878e-01
  2.7120230e-04 -2.7112654e-01]",[0.3688335  0.3037717  0.32739475],2,1,2,3,False
7,[ 0.04102403 -0.32298849  0.03197143 -0.27623759],[ 0.9991586   0.04101253  0.9482911  -0.31740192  0.03197143 -0.27623758],[0.3688135  0.30394185 0.32724464],6,0,2,4,False
8,[ 0.04922491 -0.37374521  0.04708083 -0.22202687],[ 0.9987887   0.04920503  0.9309665  -0.36510465  0.04708083 -0.22202687],[0.36718172 0.3036661  0.32915214],7,0,2,5,False
9,[ 0.05863494 -0.40838192  0.04432922 -0.11762755],[ 0.9982815   0.05860135  0.9177646  -0.39712483  0.04432921 -0.11762755],[0.36422578 0.30281314 0.33296108],8,0,1,6,False
10,[ 0.0532136  -0.38554279 -0.09692163  0.34167756],[ 0.9985845   0.05318849  0.92659444 -0.37606215 -0.09692163  0.34167758],[0.34919024 0.30244115 0.34836867],9,1,2,7,False
11,[ 0.07546635 -0.41486209  0.11427589 -0.51492948],[ 0.99715376  0.07539474  0.9151719  -0.4030637   0.11427589 -0.5149295 ],[0.3764616  0.30651504 0.31702334],3,0,1,4,False
12,[ 0.08084637 -0.46637188 -0.06181834  0.00680707],[ 0.9967337   0.08075833  0.8932055  -0.4496486  -0.06181834  0.00680707],[0.36018333 0.3023644  0.33745217],11,1,2,5,False
13,[ 0.05177826 -0.41294243 -0.22201034  0.51558073],[ 0.9986598   0.05175513  0.915944   -0.40130615 -0.22201034  0.5155807 ],[0.34224573 0.30214372 0.35561055],12,1,2,6,False
14,[-0.01665339 -0.23497178 -0.44526645  1.22815891],[ 0.99986136 -0.01665262  0.9725209  -0.23281553 -0.44526646  1.228159  ],[0.31456894 0.30321816 0.38221294],13,2,0,7,False
15,[-0.08996696 -0.01157379 -0.26520301  0.95444027],[ 0.9959557  -0.08984564  0.999933   -0.01157353 -0.265203    0.9544403 ],[0.32895187 0.3052945  0.36575365],14,0,3,8,False
16,[-0.10320195  0.02263335 -0.39370689  1.28852316],[ 0.9946794  -0.10301886  0.9997439   0.02263142 -0.3937069   1.2885232 ],[0.31308275 0.3069031  0.38001412],14,1,1,8,False
17,[-0.15063755  0.22245128 -0.06542518  0.66953901],[ 0.9886756  -0.15006849  0.97535956  0.22062115 -0.06542518  0.66953903],[0.3389606  0.30845648 0.35258293],16,0,2,9,False
18,[-0.1528362   0.34842254  0.04773613  0.56869931],[ 0.98834324 -0.15224189  0.93991244  0.34141555  0.04773613  0.5686993 ],[0.3434885  0.30940467 0.34710684],17,2,2,10,False
19,[-0.13095178  0.44289668  0.16890669  0.36469579],[ 0.9914381  -0.13057783  0.9035141   0.42855844  0.16890669  0.3646958 ],[0.35148427 0.3094298  0.33908588],18,2,2,11,False
20,[-0.08740877  0.49188525  0.25830471  0.12506928],[ 0.99618226 -0.08729751  0.88144404  0.47228846  0.25830472  0.12506928],[0.3601379  0.30889776 0.33096433],19,2,3,12,False
21,[ 0.06264114 -0.38147959 -0.00970689 -0.18980986],[ 0.9980387   0.06260018  0.92811483 -0.3722941  -0.00970689 -0.18980986],[0.36600906 0.30319554 0.33079538],3,1,2,4,False
22,[ 0.04663442 -0.37496002 -0.14669935  0.25115995],[ 0.9989128   0.04661752  0.93052226 -0.36623532 -0.14669935  0.25115997],[0.35169086 0.3022146  0.34609446],21,1,2,5,False
23,[ 0.01969784 -0.31932769 -0.11576051  0.29206155],[ 0.999806    0.01969656  0.9494467  -0.3139283  -0.11576051  0.29206154],[0.35055596 0.3026469  0.34679714],22,0,2,6,False
24,[-0.02323802 -0.19580906 -0.30217551  0.91763904],[ 0.99973    -0.02323593  0.9808906  -0.1945602  -0.30217552  0.917639  ],[0.32959288 0.30280238 0.3676047 ],23,2,2,7,False
25,[-0.06777379 -0.03648018 -0.12892191  0.64084818],[ 0.9977042  -0.06772192  0.9993347  -0.03647209 -0.12892191  0.64084816],[0.3407064  0.30468112 0.35461256],24,0,3,8,False
26,[-0.1164415   0.05685231 -0.52200508  1.6222683 ],[ 0.9932283  -0.11617855  0.99838436  0.05682169 -0.5220051   1.6222683 ],[0.2948433  0.30927256 0.39588416],14,2,0,8,False
27,[-0.21145198  0.38259233 -0.39619158  1.56140239],[ 0.9777272  -0.20987976  0.9277      0.37332663 -0.3961916   1.5614024 ],[0.29671976 0.31600115 0.38727906],26,2,2,9,False
28,[-0.26416449  0.65545526 -0.11470432  1.12130063],[ 0.965311   -0.26110283  0.7927705   0.6095202  -0.11470432  1.1213006 ],[0.31947708 0.31710216 0.36342075],27,2,2,10,False
29,[-0.254461    0.8188726   0.20919983  0.49834438],[ 0.9677991  -0.2517238   0.6830451   0.73037624  0.20919983  0.4983444 ],[0.34631017 0.31545615 0.3382337 ],28,2,2,11,False
30,[-0.18445083  0.85363844  0.47487346 -0.1426706 ],[ 0.9830371  -0.18340671  0.6572453   0.7536767   0.47487345 -0.1426706 ],[0.37091514 0.31306356 0.31602126],29,2,3,12,False
31,[ 0.02449143 -0.23335813 -0.12654278  0.05987427],[ 0.9997001   0.02448898  0.9728953  -0.23124592 -0.12654278  0.05987427],[0.3581572  0.3018449  0.33999792],2,2,2,3,False
32,[ 0.00629457 -0.2306205  -0.05173454 -0.03567824],[ 0.9999802   0.00629453  0.97352475 -0.22858164 -0.05173454 -0.03567824],[0.36125848 0.30252632 0.33621523],31,0,2,4,False
33,[-0.00851231 -0.21391235 -0.09278466  0.19754937],[ 0.99996376 -0.00851221  0.97720784 -0.21228468 -0.09278466  0.19754937],[0.3539056  0.30282468 0.3432697 ],32,1,2,5,False
